I have;I've
I would;I'd
he is;he's
she is;she's
it is;it's
he has;he's
she has;she's
it has;it's
he would;he'd
she would;she'd
it would;it'd
he will;he'll
she will;she'll
it will;it'll
we are;we're
you are;you're
they are;they're
we have;we've
you have;you've
they have;they've
we would;we'd
you would;you'd
they would;they'd
we will;we'll
you will;you'll
they will;they'll
I will;I'll
I am;I'm
is not;isn't
are not;aren't
was not;wasn't
were not;weren't
has not;hasn't
have not;haven't
had not;hadn't
do not;don't
does not;doesn't
did not;didn't
cannot;can't
could not;couldn't
will not;won't
should not;shouldn't
must not;mustn't
need not;needn't
might not;mightn't
dare not;daren't
who is;who's
who would;who'd
who will;who'll
what is;what's
what will;what'll
how is;how's
where is;where's
when is;when's
here is;here's
there is;there's
there would;there'd
there will;there'll
that is;that's
